Frequency,Filter,Threshold,Frame Bitrate,Average IoU
2.4,edge,0.0000,100,0.7770
2.4,edge,0.0000,400,0.8276
2.4,edge,0.0000,700,0.8260
2.4,edge,0.0000,1000,0.8214
2.4,edge,0.0000,1300,0.8262
2.4,edge,0.0000,1600,0.8179
2.4,edge,0.0000,1900,0.8233
2.4,edge,0.0000,2100,0.8180
2.4,edge,0.0000,2400,0.8237
2.4,edge,0.0000,2700,0.8262
2.4,edge,0.0000,3000,0.8197
2.4,edge,0.0004,100,0.7702
2.4,edge,0.0004,400,0.8296
2.4,edge,0.0004,700,0.8215
2.4,edge,0.0004,1000,0.8336
2.4,edge,0.0004,1300,0.8212
2.4,edge,0.0004,1600,0.8193
2.4,edge,0.0004,1900,0.8229
2.4,edge,0.0004,2100,0.8237
2.4,edge,0.0004,2400,0.8191
2.4,edge,0.0004,2700,0.8244
2.4,edge,0.0004,3000,0.8192
2.4,edge,0.0008,100,0.7698
2.4,edge,0.0008,400,0.8252
2.4,edge,0.0008,700,0.8169
2.4,edge,0.0008,1000,0.8194
2.4,edge,0.0008,1300,0.8223
2.4,edge,0.0008,1600,0.8251
2.4,edge,0.0008,1900,0.8224
2.4,edge,0.0008,2100,0.8192
2.4,edge,0.0008,2400,0.8201
2.4,edge,0.0008,2700,0.8189
2.4,edge,0.0008,3000,0.8182
2.4,edge,0.0012,100,0.7535
2.4,edge,0.0012,400,0.8045
2.4,edge,0.0012,700,0.8018